event,info,category,eventtype,dates,time,location,price,phone,website,Trev notes
11th Annual Poverty Bay Blues and Brews Fest,The 2021 Poverty Bay Blues and Brews Fest will feature four blues performances and dozens of craft beers from Northwest beer brewers. Ages 21 and over only. Early bird tickets on sale now.,Festivals and Parades,Outdoors,Aug. 28,11:30 a.m.-8 p.m.,"Des Moines Beach Park, 22030 Cliff Ave. S., Des Moines",$35-$55 ,,https://www.drinktomusic.org/,DONE NO ?s
Seattle Cascades pro ultimate games,"Ultimate played at the highest levels against teams in the American Ultimate Disc League West Division. An interactive event for all ages with food trucks, bake sale, giveaways, half-time games and postgame autographs on the field. ",Other,Outdoors,June 5-Aug. 31,5-8 p.m.,"Memorial Stadium, 401 Fifth Ave. N., Seattle","$20/adult, $10/youth, free/under 10",,https://theaudl.com/cascades,DONE NO ?s
Race Director Speed Series ,"Socially distanced, professionally timed race in Magnuson Park. Run or walk a mile, 5K or 10K. Go home with a medal, shirt and sponsored goodies. Funds support Operation Ward 57’s mission to support wounded veterans and their families.",Exercise,"Outdoors, Timed entry",June 5,9 a.m.-2 p.m.,"Swimming Beach at Magnuson Park, 6505 N.E. 65th St., Seattle",$43-$45,,https://www.seattlemarathon.org/speedseries,DONE NO ?s
Seattle Marathon Summer 5K/10K & Kids Fun Run,"Bring the whole family (and Fido too!) and enjoy a run around the Seward Park peninsula. There will be prizes for top finishers, and medals and race shirts for all participants.",Exercise,Outdoors,Aug. 28,9 a.m.-2 p.m.,"Seward Park, 5900 Lake Washington Blvd. S., Seattle","$35-$50/adult, $20/child",,https://www.seattlemarathon.org/summer,DONE NO ?s
Plantasia,"Two-day garden party with vendors, raffle prizes, entertainment, a “plantini lounge” and more. Ticket cost includes tote bags, drink and raffle tickets, promotional items and coupons from local downtown Renton businesses.
",Exhibits and Expos,Timed entry,June 27,noon-7:30 p.m.,"Renton Pavilion Events Center, 233 Burnett Ave. S., Renton",$25,,https://www.instagram.com/plantasiarenton/,DONE NO ?s
Saturday Market at the Port of Ilwaco,"Market featuring more than 70 vendors along the pedestrian-only Waterfront Way overlooking the Port of Ilwaco Marina and Baker Bay. Find regional produce, baked goods, a selection of local plants and homemade arts and crafts.",Markets,Outdoors,Through Sept. 25,10 a.m.-4 p.m.,"Port of Ilwaco, 165 Howerton Ave., Ilwaco",Free,,https://www.facebook.com/IlwacoSaturdayMarket,DONE NO ?s
Washington State International Kite Festival,"A weeklong kite celebration and competition held annually during the third full week of August that draws famous kite fliers from all around the world and thousands of spectators, many of whom participate in the fun with their own kite-flying adventures.",Festivals and Parades,Outdoors,Aug. 16-22,8 a.m.-8 p.m.,"Bolstad West, Long Beach",Free,,http://kitefestival.com/,DONE NO ?s
Willapa Festival,"Festival with music in the park, food, vendors, parade, beer garden and more.",Festivals and Parades,Outdoors,Aug.7-8,noon-7 p.m.,"Riverfront Park, Alder Street, Raymond",Free,,https://www.facebook.com/groups/Willapaharborfestival,DONE NO ?s
Sandsations,Annual sand-sculpting event in Long Beach open to builders of sand castles at every age and skill level.,Festivals and Parades,Outdoors,July 27-Aug. 1,8 a.m.-8 p.m.,"Bolstad Beach Approach, Bolstad West, Long Beach",Free,,https://www.facebook.com/longbeachsandsations,DONE NO ?s
Pacific NW Offshore Yacht Race,"The 45th annual Pacific NW Offshore Yacht Race begins in Ilwaco and ends in Port Angeles. Participants travel from the mouth of the Columbia River up the Washington coast. The race tests sailing, navigation and tactical skills as well as endurance.",Aquatic Activities,Outdoors,June 10-13,10 a.m. start,Ilwaco to Port Angeles,"Free/viewers, $375/racers",,https://www.cycportland.org/pnwo-home,DONE NO ?s
Lake Union Ice Cream Cruise,"A 45-minute narrated boat tour of Lake Union aboard the Fremont Avenue. Learn about Seattle’s history and what makes Lake Union a unique place. Dog-friendly. Ice cream and other snacks available. Leaves on the hour from Lake Union Park in front of the Museum of History & Industry. Sundays year-round, Saturdays June 19- Aug. 28. No advance ticket sales on Sunday. Group reservations available on Saturdays.",Other,"Outdoors, Timed entry",June 19-Aug. 28,11 a.m.-5 p.m.,"Lake Union Park, 860 Terry Ave. N., Seattle","$15/adults, $10/ages 3-12, $4/ages 2 and under",,https://www.seattlewatertours.com/,DONE NO ?s
Reflections,Ninetieth anniversary of Women Painters of Washington showing 80 paintings by 48 local artists. This show celebrates a diversity of styles by current members and honors its 90th year promoting professional artists from across Washington state. Juried by David Martin of Cascade Museum. In-person or virtual.,Art,"Virtual, Timed entry",Through July 16,11 a.m.-1 p.m.,"Columbia Center, 701 Fifth Ave., Seattle",Free,,https://womenpainters.com/,DONE NO ?s
Northwest Cancer Climb,"Join the Binaytara Foundation’s annual Cancer Climb for a hike on Mount Si or Little Si (depending on your experience level) to raise funds to fight cancer. Registered participants will get a T-shirt, water and snacks, plus entry into drawings for prizes like Mariners tickets, REI gear and more.",Exercise,Outdoors,June 5,8 a.m.-1 p.m.,"Mount Si and Little Si, Southeast Mt. Si Road, North Bend","$25/adult, $20/children ages 7-14, free/children under 7",,https://cancerclimb.binayfoundation.org/,DONE NO ?s
Midsomer Festival at Camlann,"Festival with summer games, crowning the King and Queen of Summer, puppetry, magic, crafts, archery and minstrelsy. ",Festivals and Parades,Outdoors,June 19-20,noon-5 p.m.,"Camlann Medieval Village, 10320 Kelly Rd. N.E., Carnation","$10/adults, $8/adults 60+ and kids 5-12, free/kids under 5",,https://camlann.org/midsomer%20festival.htm,DONE NO ?s
Saint James Faire ,"Fair with knightly combat, puppetry, music, crafts, archery and minstrels.",Festivals and Parades,Outdoors,July 24-25,noon-5 p.m.,"Camlann Medieval Village, 10320 Kelly Rd. N.E., Carnation","$10/adults, $8/adults 60+ and kids 5-12, free/kids under 5",,https://camlann.org/St%20James_feasts.htm,DONE NO ?s
Harvest Festival ,"Festival with puppetry, crafts, English longbow archery, villager demonstrations of every day life and minstrels.",Festivals and Parades,Outdoors,Aug. 28-29,noon-5 p.m.,"Camlann Medieval Village, 10320 Kelly Rd. N.E., Carnation","$10/adults, $8/adults 60+ and kids 5-12, free/kids under 5",,https://camlann.org/harvest%20feast.htm,DONE NO ?s
Bellevue Kiwanis Hurricane Duck Race,"Virtual rubber ducky race presented by Bellevue Kiwanis. All proceeds are directed toward the feeding programs of Nourishing Networks, Salvation Army’s hot meals and Jubilee Reach’s groceries for families. Buy tickets to sponsor numbered ducks from any Bellevue Kiwanian. Win cash prizes of $300, $200 and $100.",Fourth of July,Virtual,July 4,noon ,Kiwanis Club of Bellevue,"$5/duck, $20/five ducks",425-681-8829,https://k03565.site.kiwanis.org/community-fundraiser/,DONE NO ?s
Pacific Crest Endurance Sports Festival,"Event with Olympic and ultra-sprint distance triathlon/duathlon/aquabike, marathon, half-marathon, 5K/10K, half-marathon trail run, bike tours and kids races. ",Exercise,Outdoors,June 25-27,8 a.m.-8 p.m.,Long Beach Peninsula,"Prices vary/competitors, free/spectators",,https://whyracingevents.com/pacific-crest-endurance/,DONE NO ?s
